Point,Corner,mc_iteration,Pass/Fail,Vo
440,LOCAL,440,,1.651
441,LOCAL,441,,1.646
442,LOCAL,442,,1.654
443,LOCAL,443,,1.652
444,LOCAL,444,,1.652
445,LOCAL,445,,1.65
446,LOCAL,446,,1.648
447,LOCAL,447,,1.65
448,LOCAL,448,,1.649
449,LOCAL,449,,1.649
450,LOCAL,450,,1.65
451,LOCAL,451,,1.65
452,LOCAL,452,,1.65
453,LOCAL,453,,1.652
454,LOCAL,454,,1.653
455,LOCAL,455,,1.649
456,LOCAL,456,,1.655
457,LOCAL,457,,1.652
458,LOCAL,458,,1.651
459,LOCAL,459,,1.649
460,LOCAL,460,,1.655
461,LOCAL,461,,1.651
462,LOCAL,462,,1.651
463,LOCAL,463,,1.651
464,LOCAL,464,,1.649
465,LOCAL,465,,1.65
466,LOCAL,466,,1.647
467,LOCAL,467,,1.648
468,LOCAL,468,,1.646
469,LOCAL,469,,1.654
470,LOCAL,470,,1.65
471,LOCAL,471,,1.647
472,LOCAL,472,,1.647
473,LOCAL,473,,1.648
474,LOCAL,474,,1.646
475,LOCAL,475,,1.649
476,LOCAL,476,,1.655
477,LOCAL,477,,1.652
478,LOCAL,478,,1.649
479,LOCAL,479,,1.651
480,LOCAL,480,,1.651
481,LOCAL,481,,1.656
482,LOCAL,482,,1.649
483,LOCAL,483,,1.647
484,LOCAL,484,,1.651
485,LOCAL,485,,1.65
486,LOCAL,486,,1.649
487,LOCAL,487,,1.646
488,LOCAL,488,,1.65
489,LOCAL,489,,1.647
490,LOCAL,490,,1.652
491,LOCAL,491,,1.65
492,LOCAL,492,,1.649
493,LOCAL,493,,1.65
494,LOCAL,494,,1.656
495,LOCAL,495,,1.649
496,LOCAL,496,,1.648
497,LOCAL,497,,1.644
498,LOCAL,498,,1.651
499,LOCAL,499,,1.65
500,LOCAL,500,,1.649
501,LOCAL,501,,1.651
502,LOCAL,502,,1.653
503,LOCAL,503,,1.648
504,LOCAL,504,,1.648
505,LOCAL,505,,1.654
506,LOCAL,506,,1.646
507,LOCAL,507,,1.648
508,LOCAL,508,,1.652
509,LOCAL,509,,1.648
510,LOCAL,510,,1.647
511,LOCAL,511,,1.651
512,LOCAL,512,,1.645
513,LOCAL,513,,1.65
514,LOCAL,514,,1.648
515,LOCAL,515,,1.651
516,LOCAL,516,,1.649
517,LOCAL,517,,1.646
518,LOCAL,518,,1.649
519,LOCAL,519,,1.649
520,LOCAL,520,,1.653
521,LOCAL,521,,1.651
522,LOCAL,522,,1.651
523,LOCAL,523,,1.651
524,LOCAL,524,,1.651
525,LOCAL,525,,1.649
526,LOCAL,526,,1.651
527,LOCAL,527,,1.656
528,LOCAL,528,,1.648
529,LOCAL,529,,1.649
530,LOCAL,530,,1.653
531,LOCAL,531,,1.646
532,LOCAL,532,,1.649
533,LOCAL,533,,1.658
534,LOCAL,534,,1.654
535,LOCAL,535,,1.646
536,LOCAL,536,,1.651
537,LOCAL,537,,1.651
538,LOCAL,538,,1.648
539,LOCAL,539,,1.642
540,LOCAL,540,,1.647
541,LOCAL,541,,1.648
542,LOCAL,542,,1.647
543,LOCAL,543,,1.654
544,LOCAL,544,,1.653
545,LOCAL,545,,1.653
546,LOCAL,546,,1.649
547,LOCAL,547,,1.655
548,LOCAL,548,,1.652
549,LOCAL,549,,1.649
550,LOCAL,550,,1.645
551,LOCAL,551,,1.65
552,LOCAL,552,,1.649
553,LOCAL,553,,1.649
554,LOCAL,554,,1.652
555,LOCAL,555,,1.649
556,LOCAL,556,,1.655
557,LOCAL,557,,1.645
558,LOCAL,558,,1.646
559,LOCAL,559,,1.651
560,LOCAL,560,,1.652
561,LOCAL,561,,1.65
562,LOCAL,562,,1.647
563,LOCAL,563,,1.648
564,LOCAL,564,,1.643
565,LOCAL,565,,1.647
566,LOCAL,566,,1.648
567,LOCAL,567,,1.65
568,LOCAL,568,,1.65
