Point,Corner,mc_iteration,Pass/Fail,Vo
241,LOCAL,241,,760.4e-3
242,LOCAL,242,,768.9e-3
243,LOCAL,243,,764.7e-3
244,LOCAL,244,,760.6e-3
245,LOCAL,245,,766.7e-3
246,LOCAL,246,,758.9e-3
247,LOCAL,247,,767.9e-3
248,LOCAL,248,,768e-3
249,LOCAL,249,,768e-3
250,LOCAL,250,,769.4e-3
251,LOCAL,251,,771e-3
252,LOCAL,252,,768.4e-3
253,LOCAL,253,,770.3e-3
254,LOCAL,254,,768e-3
255,LOCAL,255,,774.2e-3
256,LOCAL,256,,767.1e-3
257,LOCAL,257,,759.7e-3
258,LOCAL,258,,774.6e-3
259,LOCAL,259,,770e-3
260,LOCAL,260,,765.1e-3
261,LOCAL,261,,774.9e-3
262,LOCAL,262,,767.5e-3
263,LOCAL,263,,769.4e-3
264,LOCAL,264,,765.7e-3
265,LOCAL,265,,769.2e-3
266,LOCAL,266,,775.4e-3
267,LOCAL,267,,766.7e-3
268,LOCAL,268,,767.1e-3
269,LOCAL,269,,771.9e-3
270,LOCAL,270,,763.7e-3
271,LOCAL,271,,766.7e-3
272,LOCAL,272,,769.1e-3
273,LOCAL,273,,769.9e-3
274,LOCAL,274,,764.5e-3
275,LOCAL,275,,770.7e-3
276,LOCAL,276,,770.8e-3
277,LOCAL,277,,768.5e-3
278,LOCAL,278,,769.8e-3
279,LOCAL,279,,769.4e-3
280,LOCAL,280,,765e-3
281,LOCAL,281,,755.4e-3
282,LOCAL,282,,767.7e-3
283,LOCAL,283,,765.8e-3
284,LOCAL,284,,769.5e-3
285,LOCAL,285,,767.9e-3
286,LOCAL,286,,772e-3
287,LOCAL,287,,766.5e-3
288,LOCAL,288,,774.2e-3
289,LOCAL,289,,764.7e-3
290,LOCAL,290,,771e-3
291,LOCAL,291,,770.5e-3
292,LOCAL,292,,763.2e-3
293,LOCAL,293,,768e-3
294,LOCAL,294,,764.8e-3
295,LOCAL,295,,772.3e-3
296,LOCAL,296,,765.8e-3
297,LOCAL,297,,772.3e-3
298,LOCAL,298,,769.4e-3
299,LOCAL,299,,781.1e-3
300,LOCAL,300,,774.6e-3
301,LOCAL,301,,766.2e-3
302,LOCAL,302,,761.5e-3
303,LOCAL,303,,765.7e-3
304,LOCAL,304,,766.9e-3
305,LOCAL,305,,759.1e-3
306,LOCAL,306,,760.3e-3
307,LOCAL,307,,774.5e-3
308,LOCAL,308,,764.1e-3
309,LOCAL,309,,762.1e-3
310,LOCAL,310,,767.4e-3
311,LOCAL,311,,765.9e-3
312,LOCAL,312,,775.8e-3
313,LOCAL,313,,771e-3
314,LOCAL,314,,761.5e-3
315,LOCAL,315,,769.1e-3
316,LOCAL,316,,764.2e-3
317,LOCAL,317,,772.8e-3
318,LOCAL,318,,762.3e-3
319,LOCAL,319,,756.7e-3
320,LOCAL,320,,760.9e-3
321,LOCAL,321,,770.6e-3
322,LOCAL,322,,765.5e-3
323,LOCAL,323,,763.9e-3
324,LOCAL,324,,768.3e-3
325,LOCAL,325,,770.1e-3
326,LOCAL,326,,766.1e-3
327,LOCAL,327,,771.5e-3
328,LOCAL,328,,761.7e-3
329,LOCAL,329,,775.6e-3
330,LOCAL,330,,766.7e-3
331,LOCAL,331,,770.9e-3
332,LOCAL,332,,762.9e-3
333,LOCAL,333,,764.4e-3
334,LOCAL,334,,763.9e-3
335,LOCAL,335,,772.7e-3
336,LOCAL,336,,773.4e-3
337,LOCAL,337,,761.6e-3
338,LOCAL,338,,770.1e-3
339,LOCAL,339,,768.2e-3
340,LOCAL,340,,769e-3
341,LOCAL,341,,767.6e-3
342,LOCAL,342,,760e-3
343,LOCAL,343,,766.3e-3
344,LOCAL,344,,761.9e-3
345,LOCAL,345,,770.1e-3
346,LOCAL,346,,767.3e-3
347,LOCAL,347,,765.3e-3
348,LOCAL,348,,765.2e-3
349,LOCAL,349,,774.5e-3
350,LOCAL,350,,758.8e-3
351,LOCAL,351,,771.9e-3
352,LOCAL,352,,779.5e-3
353,LOCAL,353,,764.3e-3
354,LOCAL,354,,774.7e-3
355,LOCAL,355,,774.8e-3
356,LOCAL,356,,769e-3
357,LOCAL,357,,760.2e-3
358,LOCAL,358,,765.1e-3
359,LOCAL,359,,769.5e-3
360,LOCAL,360,,769.4e-3
361,LOCAL,361,,769.6e-3
362,LOCAL,362,,774e-3
363,LOCAL,363,,762.3e-3
364,LOCAL,364,,766.9e-3
365,LOCAL,365,,770.8e-3
366,LOCAL,366,,774.2e-3
367,LOCAL,367,,770.1e-3
368,LOCAL,368,,760.7e-3
369,LOCAL,369,,766.5e-3
370,LOCAL,370,,774.3e-3
371,LOCAL,371,,765.8e-3
372,LOCAL,372,,772.4e-3
373,LOCAL,373,,767e-3
374,LOCAL,374,,776.7e-3
375,LOCAL,375,,776e-3
376,LOCAL,376,,774.4e-3
377,LOCAL,377,,764.9e-3
378,LOCAL,378,,756.3e-3
379,LOCAL,379,,771.6e-3
380,LOCAL,380,,768e-3
381,LOCAL,381,,758.7e-3
382,LOCAL,382,,770.4e-3
383,LOCAL,383,,767.3e-3
384,LOCAL,384,,770.1e-3
385,LOCAL,385,,763.5e-3
386,LOCAL,386,,768.5e-3
387,LOCAL,387,,767.2e-3
388,LOCAL,388,,765.4e-3
389,LOCAL,389,,764.8e-3
390,LOCAL,390,,767.7e-3
391,LOCAL,391,,763.5e-3
392,LOCAL,392,,776e-3
393,LOCAL,393,,765.8e-3
394,LOCAL,394,,771.3e-3
395,LOCAL,395,,769.4e-3
396,LOCAL,396,,762.2e-3
397,LOCAL,397,,767.7e-3
398,LOCAL,398,,766.9e-3
399,LOCAL,399,,778.4e-3
400,LOCAL,400,,769.8e-3
401,LOCAL,401,,772.9e-3
402,LOCAL,402,,764.2e-3
403,LOCAL,403,,764.2e-3
404,LOCAL,404,,774e-3
405,LOCAL,405,,768.2e-3
406,LOCAL,406,,764.3e-3
407,LOCAL,407,,764.5e-3
408,LOCAL,408,,764e-3
409,LOCAL,409,,768.3e-3
410,LOCAL,410,,774.1e-3
411,LOCAL,411,,764.9e-3
412,LOCAL,412,,771.9e-3
413,LOCAL,413,,771.1e-3
414,LOCAL,414,,770.3e-3
415,LOCAL,415,,770.1e-3
416,LOCAL,416,,762.1e-3
417,LOCAL,417,,769.9e-3
418,LOCAL,418,,768.7e-3
419,LOCAL,419,,769.5e-3
420,LOCAL,420,,771.8e-3
421,LOCAL,421,,769.9e-3
422,LOCAL,422,,762.4e-3
423,LOCAL,423,,765.1e-3
424,LOCAL,424,,763.1e-3
425,LOCAL,425,,766e-3
426,LOCAL,426,,771.5e-3
427,LOCAL,427,,768.1e-3
428,LOCAL,428,,764.8e-3
429,LOCAL,429,,767.6e-3
430,LOCAL,430,,772e-3
431,LOCAL,431,,762.7e-3
432,LOCAL,432,,771.6e-3
433,LOCAL,433,,764e-3
434,LOCAL,434,,763.7e-3
435,LOCAL,435,,771.9e-3
436,LOCAL,436,,765.5e-3
437,LOCAL,437,,764.9e-3
438,LOCAL,438,,765.4e-3
439,LOCAL,439,,765.6e-3
440,LOCAL,440,,762.4e-3
441,LOCAL,441,,762.1e-3
442,LOCAL,442,,766e-3
443,LOCAL,443,,765.9e-3
444,LOCAL,444,,768.1e-3
