Point,Corner,mc_iteration,Pass/Fail,Vo
180,GLOBAL_LOCAL,180,,776.6e-3
181,GLOBAL_LOCAL,181,,772.9e-3
182,GLOBAL_LOCAL,182,,755.2e-3
183,GLOBAL_LOCAL,183,,754.3e-3
184,GLOBAL_LOCAL,184,,748.4e-3
185,GLOBAL_LOCAL,185,,777.6e-3
186,GLOBAL_LOCAL,186,,746.4e-3
187,GLOBAL_LOCAL,187,,791.1e-3
188,GLOBAL_LOCAL,188,,759.9e-3
189,GLOBAL_LOCAL,189,,743e-3
190,GLOBAL_LOCAL,190,,793.7e-3
191,GLOBAL_LOCAL,191,,774.9e-3
192,GLOBAL_LOCAL,192,,794.4e-3
193,GLOBAL_LOCAL,193,,737.2e-3
194,GLOBAL_LOCAL,194,,766.4e-3
195,GLOBAL_LOCAL,195,,736.5e-3
196,GLOBAL_LOCAL,196,,786.4e-3
197,GLOBAL_LOCAL,197,,786.1e-3
198,GLOBAL_LOCAL,198,,781.2e-3
199,GLOBAL_LOCAL,199,,751.2e-3
200,GLOBAL_LOCAL,200,,784e-3
201,GLOBAL_LOCAL,201,,741.1e-3
202,GLOBAL_LOCAL,202,,762.1e-3
203,GLOBAL_LOCAL,203,,755.9e-3
204,GLOBAL_LOCAL,204,,775.4e-3
205,GLOBAL_LOCAL,205,,759.1e-3
206,GLOBAL_LOCAL,206,,771.2e-3
207,GLOBAL_LOCAL,207,,775.8e-3
208,GLOBAL_LOCAL,208,,737.4e-3
209,GLOBAL_LOCAL,209,,776.1e-3
210,GLOBAL_LOCAL,210,,771.5e-3
211,GLOBAL_LOCAL,211,,759.1e-3
212,GLOBAL_LOCAL,212,,813.5e-3
213,GLOBAL_LOCAL,213,,773.4e-3
214,GLOBAL_LOCAL,214,,763.4e-3
215,GLOBAL_LOCAL,215,,768.7e-3
216,GLOBAL_LOCAL,216,,757.6e-3
217,GLOBAL_LOCAL,217,,786.4e-3
218,GLOBAL_LOCAL,218,,784.8e-3
219,GLOBAL_LOCAL,219,,756.2e-3
220,GLOBAL_LOCAL,220,,736.3e-3
221,GLOBAL_LOCAL,221,,739.6e-3
222,GLOBAL_LOCAL,222,,771e-3
223,GLOBAL_LOCAL,223,,783.8e-3
224,GLOBAL_LOCAL,224,,784.4e-3
225,GLOBAL_LOCAL,225,,779.5e-3
226,GLOBAL_LOCAL,226,,773.3e-3
227,GLOBAL_LOCAL,227,,746.7e-3
228,GLOBAL_LOCAL,228,,779.7e-3
229,GLOBAL_LOCAL,229,,750.6e-3
230,GLOBAL_LOCAL,230,,764.5e-3
231,GLOBAL_LOCAL,231,,744.9e-3
232,GLOBAL_LOCAL,232,,772.3e-3
233,GLOBAL_LOCAL,233,,760.2e-3
234,GLOBAL_LOCAL,234,,773e-3
235,GLOBAL_LOCAL,235,,741.5e-3
236,GLOBAL_LOCAL,236,,786.6e-3
237,GLOBAL_LOCAL,237,,737.2e-3
238,GLOBAL_LOCAL,238,,765e-3
239,GLOBAL_LOCAL,239,,798.4e-3
240,GLOBAL_LOCAL,240,,759.8e-3
241,GLOBAL_LOCAL,241,,769.1e-3
242,GLOBAL_LOCAL,242,,766.7e-3
243,GLOBAL_LOCAL,243,,752.6e-3
244,GLOBAL_LOCAL,244,,739.1e-3
245,GLOBAL_LOCAL,245,,790.1e-3
246,GLOBAL_LOCAL,246,,779e-3
247,GLOBAL_LOCAL,247,,760.7e-3
248,GLOBAL_LOCAL,248,,748.8e-3
249,GLOBAL_LOCAL,249,,781.8e-3
250,GLOBAL_LOCAL,250,,760.5e-3
251,GLOBAL_LOCAL,251,,780.4e-3
252,GLOBAL_LOCAL,252,,758.1e-3
253,GLOBAL_LOCAL,253,,792.4e-3
254,GLOBAL_LOCAL,254,,767.3e-3
255,GLOBAL_LOCAL,255,,763.5e-3
256,GLOBAL_LOCAL,256,,754.5e-3
257,GLOBAL_LOCAL,257,,760.4e-3
258,GLOBAL_LOCAL,258,,753.3e-3
259,GLOBAL_LOCAL,259,,778.7e-3
260,GLOBAL_LOCAL,260,,758.3e-3
261,GLOBAL_LOCAL,261,,769.2e-3
262,GLOBAL_LOCAL,262,,809.5e-3
263,GLOBAL_LOCAL,263,,767.1e-3
264,GLOBAL_LOCAL,264,,733.4e-3
265,GLOBAL_LOCAL,265,,763.8e-3
266,GLOBAL_LOCAL,266,,762.2e-3
267,GLOBAL_LOCAL,267,,783.3e-3
268,GLOBAL_LOCAL,268,,751e-3
269,GLOBAL_LOCAL,269,,793.4e-3
270,GLOBAL_LOCAL,270,,765.1e-3
271,GLOBAL_LOCAL,271,,740.9e-3
272,GLOBAL_LOCAL,272,,780.3e-3
273,GLOBAL_LOCAL,273,,735.5e-3
274,GLOBAL_LOCAL,274,,784.9e-3
275,GLOBAL_LOCAL,275,,753.9e-3
276,GLOBAL_LOCAL,276,,778.7e-3
277,GLOBAL_LOCAL,277,,745.1e-3
278,GLOBAL_LOCAL,278,,789.3e-3
279,GLOBAL_LOCAL,279,,801.7e-3
280,GLOBAL_LOCAL,280,,758.3e-3
281,GLOBAL_LOCAL,281,,785.7e-3
282,GLOBAL_LOCAL,282,,778e-3
283,GLOBAL_LOCAL,283,,751.9e-3
284,GLOBAL_LOCAL,284,,779.4e-3
285,GLOBAL_LOCAL,285,,765.7e-3
286,GLOBAL_LOCAL,286,,756.5e-3
287,GLOBAL_LOCAL,287,,765.5e-3
288,GLOBAL_LOCAL,288,,755.4e-3
289,GLOBAL_LOCAL,289,,771.3e-3
290,GLOBAL_LOCAL,290,,802e-3
291,GLOBAL_LOCAL,291,,752.8e-3
292,GLOBAL_LOCAL,292,,756.3e-3
293,GLOBAL_LOCAL,293,,776.6e-3
294,GLOBAL_LOCAL,294,,762.5e-3
295,GLOBAL_LOCAL,295,,770.8e-3
296,GLOBAL_LOCAL,296,,753.8e-3
297,GLOBAL_LOCAL,297,,791e-3
298,GLOBAL_LOCAL,298,,752.8e-3
299,GLOBAL_LOCAL,299,,786.1e-3
300,GLOBAL_LOCAL,300,,779.1e-3
301,GLOBAL_LOCAL,301,,768.3e-3
302,GLOBAL_LOCAL,302,,750.3e-3
303,GLOBAL_LOCAL,303,,781.9e-3
304,GLOBAL_LOCAL,304,,786.6e-3
305,GLOBAL_LOCAL,305,,737e-3
306,GLOBAL_LOCAL,306,,779.4e-3
307,GLOBAL_LOCAL,307,,740.4e-3
308,GLOBAL_LOCAL,308,,789.4e-3
309,GLOBAL_LOCAL,309,,747.6e-3
310,GLOBAL_LOCAL,310,,779.4e-3
